id,medicaleffects1,medicaleffects2,medicaleffects3,medicaleffects4,medicaleffects5,medicaleffects6
1,Depression,Insomnia,Pain,Stress,Lack of Appetite,
2,Depression,Pain,Stress,Lack of Appetite,Nausea,Headache
3,Depression,Insomnia,Pain,Stress,Cramps,Headache
4,Pain,Stress,Headache,Fatigue,Headaches,Muscle Spasms
5,Depression,Pain,Stress,Nausea,Headache,Headaches
6,Depression,Stress,Cramps,Fatigue,Eye Pressure,
8,Depression,Pain,Stress,Lack of Appetite,Headaches,
9,Pain,Stress,Eye Pressure,,,
10,Depression,Pain,Stress,Fatigue,Headaches,
11,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
12,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
13,Insomnia,Stress,Fatigue,Headaches,Eye Pressure,
14,Depression,Insomnia,Stress,Muscle Spasms,,
15,Depression,Stress,Lack of Appetite,Fatigue,Muscle Spasms,
16,Depression,Insomnia,Lack of Appetite,Fatigue,Headaches,
17,Depression,Cramps,Fatigue,Headaches,Eye Pressure,
18,Depression,Pain,Stress,Nausea,Fatigue,
19,Depression,Insomnia,Pain,Stress,Lack of Appetite,
20,Insomnia,Pain,Stress,Nausea,Fatigue,
21,Depression,Insomnia,Pain,Stress,Lack of Appetite,
22,Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms
23,Depression,Pain,Stress,Lack of Appetite,Fatigue,
24,Depression,Insomnia,Pain,Stress,Headache,Headaches
25,Depression,Insomnia,Pain,Stress,Muscle Spasms,
26,Pain,Lack of Appetite,Headaches,Inflammation,Muscle Spasms,
27,Depression,Insomnia,Pain,Stress,Headaches,
28,Depression,Insomnia,Pain,Stress,Lack of Appetite,
29,Depression,Stress,Lack of Appetite,Muscle Spasms,,
30,Depression,Stress,Lack of Appetite,,,
31,Depression,Pain,Stress,Headaches,,
32,Depression,Stress,Headaches,Inflammation,,
33,Depression,Pain,Stress,Lack of Appetite,Nausea,
34,Pain,Stress,Eye Pressure,,,
35,Depression,Pain,Stress,Fatigue,Headaches,
36,Depression,Pain,Stress,,,
37,Depression,Pain,Stress,Nausea,Fatigue,
38,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
40,Depression,Cramps,Fatigue,Headaches,Inflammation,
41,Depression,Insomnia,Pain,Stress,Fatigue,
42,Depression,Pain,Stress,Inflammation,Muscle Spasms,
43,Depression,Insomnia,Pain,Stress,Fatigue,
44,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
45,Depression,Insomnia,Pain,Stress,Inflammation,
