id,positiveeffects1,positiveeffects2,positiveeffects3,positiveeffects4,positiveeffects5
1,Relaxed,Hungry,Happy,Sleepy,
2,Euphoric,Happy,Creative,Energetic,Talkative
3,Relaxed,Hungry,Euphoric,Uplifted,Tingly
4,Relaxed,Happy,Creative,Uplifted,Sleepy
5,Relaxed,Euphoric,Happy,Energetic,Uplifted
6,Euphoric,Happy,Creative,Uplifted,Focused
8,Relaxed,Euphoric,Happy,Energetic,Focused
9,Relaxed,Euphoric,Creative,Tingly,Focused
10,Euphoric,Happy,Creative,Energetic,Uplifted
11,Relaxed,Euphoric,Happy,Energetic,Uplifted
12,Relaxed,Hungry,Euphoric,Happy,Focused
13,Relaxed,Hungry,Uplifted,Tingly,Sleepy
14,Relaxed,Euphoric,Happy,Creative,Giggly
15,Relaxed,Euphoric,Happy,Uplifted,Focused
16,Relaxed,Happy,Creative,Focused,
17,Hungry,Euphoric,Creative,Aroused,
18,Euphoric,Happy,Creative,Energetic,Giggly
19,Relaxed,Euphoric,Sleepy,Focused,Giggly
20,Relaxed,Euphoric,Happy,Uplifted,Sleepy
21,Relaxed,Euphoric,Happy,Uplifted,Focused
22,Relaxed,Euphoric,Happy,Uplifted,
23,Euphoric,Happy,Creative,Energetic,Talkative
24,Relaxed,Euphoric,Uplifted,Sleepy,Giggly
25,Relaxed,Euphoric,Happy,Uplifted,Focused
26,Relaxed,Euphoric,Happy,Creative,Uplifted
27,Relaxed,Hungry,Euphoric,Happy,Creative
28,Relaxed,Euphoric,Happy,Uplifted,Sleepy
29,Relaxed,Euphoric,Happy,Creative,Uplifted
30,Euphoric,Happy,Creative,Uplifted,
31,Relaxed,Happy,Uplifted,Giggly,
32,Relaxed,Happy,Tingly,Focused,
33,Euphoric,Happy,Creative,Energetic,Uplifted
34,Relaxed,Happy,Sleepy,,
35,Relaxed,Happy,Creative,Energetic,Uplifted
36,Relaxed,Happy,Creative,Energetic,Uplifted
37,Relaxed,Euphoric,Happy,Energetic,Giggly
38,Relaxed,Happy,Energetic,Uplifted,Focused
40,Happy,Creative,Energetic,Uplifted,Focused
41,Relaxed,Hungry,Euphoric,Happy,Creative
42,Euphoric,Creative,Energetic,Uplifted,Aroused
43,Relaxed,Euphoric,Happy,Creative,Uplifted
44,Relaxed,Hungry,Euphoric,Happy,Tingly
45,Relaxed,Euphoric,Happy,Creative,Focused
46,Relaxed,Happy,Tingly,Sleepy,
47,Relaxed,Euphoric,Creative,Focused,Aroused
50,Relaxed,Euphoric,Happy,Energetic,Uplifted
52,Euphoric,Happy,Creative,Energetic,Uplifted
53,Relaxed,Creative,Energetic,Sleepy,Aroused
54,Relaxed,Hungry,Euphoric,Happy,Sleepy
55,Relaxed,Hungry,Euphoric,Happy,Sleepy
56,Relaxed,Euphoric,Happy,Sleepy,
57,Relaxed,Euphoric,Happy,Uplifted,Sleepy
58,Relaxed,Euphoric,Happy,Sleepy,Aroused
59,Relaxed,Euphoric,Happy,Creative,Giggly
60,Relaxed,Euphoric,Happy,Uplifted,
61,Relaxed,Euphoric,Happy,Energetic,Giggly
62,Relaxed,Hungry,Euphoric,Happy,Creative
63,Euphoric,Happy,Creative,Energetic,Focused
64,Euphoric,Happy,Creative,Talkative,Uplifted
65,Relaxed,Euphoric,Happy,Tingly,
66,Relaxed,Sleepy,Focused,,
68,Relaxed,Hungry,Euphoric,Creative,Energetic
69,Relaxed,Happy,Creative,Energetic,Focused
70,Relaxed,Happy,Talkative,Uplifted,Giggly
71,Relaxed,Happy,Energetic,Uplifted,Focused
72,Relaxed,Happy,Energetic,Uplifted,
73,Relaxed,Happy,Energetic,Uplifted,Focused
