name,id,race,flavors1,flavors2,flavors3,positiveeffects1,positiveeffects2,positiveeffects3,positiveeffects4,positiveeffects5,negativeeffects1,negativeeffects2,negativeeffects3,negativeeffects4,negativeeffects5,medicaleffects1,medicaleffects2,medicaleffects3,medicaleffects4,medicaleffects5,medicaleffects6
Afpak,1,hybrid,Earthy,Chemical,Pine,Relaxed,Hungry,Happy,Sleepy,,Dizzy,,,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
African,2,sativa,Spicy/Herbal,Pungent,Earthy,Euphoric,Happy,Creative,Energetic,Talkative,Dry Mouth,,,,,Depression,Pain,Stress,Lack of Appetite,Nausea,Headache
Afternoon Delight,3,hybrid,Pepper,Flowery,Pine,Relaxed,Hungry,Euphoric,Uplifted,Tingly,Dizzy,Dry Mouth,Paranoid,,,Depression,Insomnia,Pain,Stress,Cramps,Headache
Afwreck,4,hybrid,Pine,Earthy,Flowery,Relaxed,Happy,Creative,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Pain,Stress,Headache,Fatigue,Headaches,Muscle Spasms
Agent Orange,5,hybrid,Citrus,Orange,Sweet,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Nausea,Headache,Headaches
Agent Tangie,6,hybrid,Skunk,Pepper,Citrus,Euphoric,Happy,Creative,Uplifted,Focused,Dry Mouth,Dry Eyes,,,,Depression,Stress,Cramps,Fatigue,Eye Pressure,
Alaska,8,sativa,Earthy,Woody,Pungent,Relaxed,Euphoric,Happy,Energetic,Focused,Dizzy,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Headaches,
Alaska Thunder Grape,9,hybrid,Grape,Pepper,Skunk,Relaxed,Euphoric,Creative,Tingly,Focused,,,,,,Pain,Stress,Eye Pressure,,,
Alaskan Ice,10,sativa,Earthy,Pine,Minty,Euphoric,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Fatigue,Headaches,
Alaskan Thunder Fuck,11,sativa,Earthy,Woody,Pine,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
Albert Walker,12,hybrid,Earthy,Pine,Skunk,Relaxed,Hungry,Euphoric,Happy,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
Alchemy,13,hybrid,Cheese,Chemical,Sweet,Relaxed,Hungry,Uplifted,Tingly,Sleepy,,,,,,Insomnia,Stress,Fatigue,Headaches,Eye Pressure,
Alf,14,hybrid,Diesel,Pungent,Tropical,Relaxed,Euphoric,Happy,Creative,Giggly,Dry Mouth,,,,,Depression,Insomnia,Stress,Muscle Spasms,,
Alice in Wonderland,15,sativa,Citrus,Grapefruit,Earthy,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Stress,Lack of Appetite,Fatigue,Muscle Spasms,
Alien Abduction,16,hybrid,Earthy,Nutty,Lemon,Relaxed,Happy,Creative,Focused,,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Lack of Appetite,Fatigue,Headaches,
Alien Apparition,17,hybrid,Berry,Blueberry,Citrus,Hungry,Euphoric,Creative,Aroused,,Dry Mouth,,,,,Depression,Cramps,Fatigue,Headaches,Eye Pressure,
Alien Asshat,18,hybrid,Citrus,Pungent,Lemon,Euphoric,Happy,Creative,Energetic,Giggly,Dizzy,Dry Mouth,,,,Depression,Pain,Stress,Nausea,Fatigue,
Alien Bubba,19,indica,Earthy,Ammonia,Diesel,Relaxed,Euphoric,Sleepy,Focused,Giggly,Dizzy,Dry Mouth,,,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Alien Dawg,20,indica,Earthy,Pungent,Spicy/Herbal,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Insomnia,Pain,Stress,Nausea,Fatigue,
Alien Dutchess,21,sativa,Berry,Lemon,Sweet,Relaxed,Euphoric,Happy,Uplifted,Focused,,,,,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Alien Hallucination,22,hybrid,Chemical,Diesel,Earthy,Relaxed,Euphoric,Happy,Uplifted,,,,,,,Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms
Alien Inferno,23,hybrid,Pine,Diesel,Earthy,Euphoric,Happy,Creative,Energetic,Talkative,,,,,,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Alien Kush,24,indica,Woody,Flowery,Earthy,Relaxed,Euphoric,Uplifted,Sleepy,Giggly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Headaches
Alien OG,25,hybrid,Lemon,Flowery,Earthy,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Muscle Spasms,
Alien Reunion,26,hybrid,Skunk,Diesel,Pungent,Relaxed,Euphoric,Happy,Creative,Uplifted,,,,,,Pain,Lack of Appetite,Headaches,Inflammation,Muscle Spasms,
Alien Rift,27,indica,Earthy,Chemical,Citrus,Relaxed,Hungry,Euphoric,Happy,Creative,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,Headaches,
Alien Rock Candy,28,hybrid,Sweet,Earthy,Citrus,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Alien Sour Apple,29,hybrid,Apple,Orange,Ammonia,Relaxed,Euphoric,Happy,Creative,Uplifted,,,,,,Depression,Stress,Lack of Appetite,Muscle Spasms,,
Alien Stardawg,30,sativa,Earthy,Pungent,Rose,Euphoric,Happy,Creative,Uplifted,,Dry Mouth,,,,,Depression,Stress,Lack of Appetite,,,
Alien Technology,31,indica,Spicy/Herbal,Chemical,Woody,Relaxed,Happy,Uplifted,Giggly,,Dry Mouth,,,,,Depression,Pain,Stress,Headaches,,
Aliens On Moonshine,32,indica,Berry,Butter,Citrus,Relaxed,Happy,Tingly,Focused,,,,,,,Depression,Stress,Headaches,Inflammation,,
Allen Wrench,33,sativa,Berry,Tropical,Mango,Euphoric,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Lack of Appetite,Nausea,
Allkush,34,indica,Honey,Spicy/Herbal,Earthy,Relaxed,Happy,Sleepy,,,Dry Eyes,,,,,Pain,Stress,Eye Pressure,,,
Aloha,35,sativa,Tropical,Sweet,Citrus,Relaxed,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Pain,Stress,Fatigue,Headaches,
Aloha Limone,36,hybrid,Citrus,Earthy,Pungent,Relaxed,Happy,Creative,Energetic,Uplifted,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,,,
Alohaberry,37,hybrid,Berry,Sweet,Citrus,Relaxed,Euphoric,Happy,Energetic,Giggly,Dry Mouth,Paranoid,Dry Eyes,,,Depression,Pain,Stress,Nausea,Fatigue,
Alpha Blue,38,sativa,Blueberry,Sweet,Berry,Relaxed,Happy,Energetic,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
Alpha Express,40,sativa,Spicy/Herbal,Nutty,Tea,Happy,Creative,Energetic,Uplifted,Focused,Dry Mouth,,,,,Depression,Cramps,Fatigue,Headaches,Inflammation,
Alpha OG,41,hybrid,Berry,Earthy,Tea,Relaxed,Hungry,Euphoric,Happy,Creative,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Fatigue,
Alpine Blue,42,hybrid,Berry,Blueberry,Pine,Euphoric,Creative,Energetic,Uplifted,Aroused,,,,,,Depression,Pain,Stress,Inflammation,Muscle Spasms,
Alpine Star,43,indica,Pine,Earthy,Lemon,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,Fatigue,
Ambrosia,44,hybrid,Earthy,Tropical,Butter,Relaxed,Hungry,Euphoric,Happy,Tingly,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
American Dream,45,hybrid,Earthy,Sweet,Pungent,Relaxed,Euphoric,Happy,Creative,Focused,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Inflammation,
American Kush,46,indica,Sweet,Lemon,Lime,Relaxed,Happy,Tingly,Sleepy,,Dry Mouth,Dry Eyes,,,,Insomnia,Pain,Stress,Headaches,Muscle Spasms,
Americano,47,indica,Earthy,Diesel,Spicy/Herbal,Relaxed,Euphoric,Creative,Focused,Aroused,,,,,,Pain,Nausea,Headaches,,,
Amnesia,50,sativa,Earthy,Sweet,Citrus,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
Amnesia Haze,52,sativa,Citrus,Lemon,Earthy,Euphoric,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Fatigue,Headaches
Ancient Kush,53,indica,Cheese,Skunk,Citrus,Relaxed,Creative,Energetic,Sleepy,Aroused,,,,,,Pain,Stress,Lack of Appetite,Headaches,,
Ancient OG,54,indica,Earthy,Diesel,Nutty,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Headaches,
Anesthesia,55,indica,Sweet,Earthy,Pungent,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Insomnia,Pain,Stress,Headache,Headaches,Inflammation
Angel OG,56,indica,Pungent,Earthy,Berry,Relaxed,Euphoric,Happy,Sleepy,,Dry Mouth,,,,,Insomnia,Pain,Stress,,,
Animal Cookies,57,hybrid,Sweet,Earthy,Pungent,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Fatigue,
Anonymous OG,58,indica,Earthy,Pungent,Citrus,Relaxed,Euphoric,Happy,Sleepy,Aroused,Dry Mouth,,,,,Insomnia,Fatigue,Headaches,Eye Pressure,Inflammation,
Ape Shit,59,hybrid,Grape,Sweet,Lavender,Relaxed,Euphoric,Happy,Creative,Giggly,Dry Mouth,,,,,Depression,Insomnia,Stress,Lack of Appetite,Eye Pressure,
Apollo 11,60,hybrid,Pungent,Cheese,Citrus,Relaxed,Euphoric,Happy,Uplifted,,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Headaches
Apollo 13,61,hybrid,Earthy,Sweet,Woody,Relaxed,Euphoric,Happy,Energetic,Giggly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Fatigue,Headaches
Appalachia,62,hybrid,Pungent,Earthy,Woody,Relaxed,Hungry,Euphoric,Happy,Creative,Dry Eyes,,,,,Pain,Cramps,Lack of Appetite,Inflammation,Muscle Spasms,
Appalachian Power,63,sativa,Tropical,Grape,Citrus,Euphoric,Happy,Creative,Energetic,Focused,,,,,,,,,,,
Apple Jack,64,hybrid,Apple,Pungent,Skunk,Euphoric,Happy,Creative,Talkative,Uplifted,Dizzy,Dry Eyes,Anxious,,,Depression,Stress,Nausea,Fatigue,Muscle Spasms,
Apple Kush,65,hybrid,Apple,Diesel,Sweet,Relaxed,Euphoric,Happy,Tingly,,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Eye Pressure,
Appleberry,66,indica,Berry,Earthy,Flowery,Relaxed,Sleepy,Focused,,,,,,,,Depression,Stress,Lack of Appetite,Headaches,Muscle Spasms,
Arctic Sun,68,hybrid,Ammonia,Skunk,,Relaxed,Hungry,Euphoric,Creative,Energetic,,,,,,Stress,,,,,
ArcticBlue,69,hybrid,Blueberry,Sweet,Earthy,Relaxed,Happy,Creative,Energetic,Focused,Dry Mouth,,,,,Pain,Stress,Lack of Appetite,Inflammation,Spasticity,
Area 51,70,hybrid,Sweet,Earthy,Citrus,Relaxed,Happy,Talkative,Uplifted,Giggly,Dry Mouth,,,,,Depression,Pain,Stress,Cramps,Fatigue,
Argyle,71,indica,Earthy,Woody,Citrus,Relaxed,Happy,Energetic,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Pain,Stress,Cramps,Fatigue,
Arjan's Strawberry Haze,72,sativa,Strawberry,Sweet,Earthy,Relaxed,Happy,Energetic,Uplifted,,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Headache,Fatigue,Muscle Spasms
Arjan's Ultra Haze #1,73,sativa,Mint,Pepper,Spicy/Herbal,Relaxed,Happy,Energetic,Uplifted,Focused,Dry Mouth,Dry Eyes,,,,Stress,Lack of Appetite,Fatigue,Headaches,Muscle Spasms,
Armageddon,74,hybrid,Citrus,Earthy,Pungent,Relaxed,Euphoric,Happy,Talkative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
Armagnac,75,hybrid,Earthy,Skunk,Flowery,Relaxed,Euphoric,Sleepy,Aroused,,Dizzy,Dry Mouth,,,,Insomnia,Stress,,,,
Ash,76,hybrid,Earthy,Pine,Pungent,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Headache,Eye Pressure
Asian Fantasy,77,sativa,Earthy,Skunk,Woody,Relaxed,Hungry,Euphoric,Happy,Talkative,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Pain,Stress,Lack of Appetite,Headache,Headaches,Eye Pressure
Aspen OG,78,hybrid,Spicy/Herbal,Skunk,Earthy,Relaxed,Hungry,Happy,Talkative,Focused,,,,,,Depression,Stress,Fatigue,Headaches,Inflammation,
Astroboy,79,sativa,Citrus,Sweet,Grapefruit,Happy,Creative,Energetic,Tingly,Focused,,,,,,Depression,Pain,Fatigue,Headaches,Muscle Spasms,
Athabasca,80,indica,Earthy,Ammonia,Apple,Relaxed,Happy,Talkative,Uplifted,,Dry Mouth,,,,,Depression,Stress,Fatigue,Headaches,Seizures,
Atmosphere,81,hybrid,Flowery,Citrus,Earthy,Relaxed,Euphoric,Creative,Uplifted,Tingly,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Stress,Lack of Appetite,Nausea,
Atomic Goat,82,hybrid,Nutty,Sweet,Earthy,Relaxed,Happy,Energetic,Uplifted,,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Headaches,Muscle Spasms,
Atomic Northern Lights,83,hybrid,Earthy,Skunk,Pungent,Relaxed,Hungry,Euphoric,Happy,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Nausea,Headache,Headaches
Atomical Haze,84,sativa,Minty,Nutty,Pine,Relaxed,Hungry,Happy,Creative,Focused,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Nausea,Eye Pressure,
Aurora Borealis,85,indica,Sweet,Earthy,Skunk,Relaxed,Happy,Energetic,Talkative,Uplifted,Dry Mouth,,,,,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
Aurora Indica,86,indica,Earthy,Pine,Citrus,Relaxed,Euphoric,Happy,Sleepy,Aroused,Dry Mouth,Paranoid,Dry Eyes,,,Depression,Insomnia,Pain,Stress,Muscle Spasms,
Avalon,87,hybrid,Earthy,Nutty,Sweet,Hungry,Uplifted,Tingly,Giggly,Aroused,Dizzy,Dry Mouth,Paranoid,,,Insomnia,Pain,Stress,Nausea,Headache,
